"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","1.0","0","3","3","false","Cellulose synthase-like C6 glycosyltransferase family 2","74.33333333333333","0","0","false","0","Cellulose synthase-like C6 glycosyltransferase family 2","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Pathogenesis-related ","74.33333333333333","0","0","false","0","Pathogenesis-related ","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Alkaline alpha galactosidase 2","74.33333333333333","0","0","false","0","Alkaline alpha galactosidase 2","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc07g008010","74.33333333333333","0","0","false","0","Solyc07g008010","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Solyc07g017730","81.0","0","0","false","0","Solyc07g017730","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc07g018070","74.33333333333333","0","0","false","0","Solyc07g018070","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc07g052910","74.33333333333333","0","0","false","0","Solyc07g052910","0"
"0.0","0.0","0.0","1.0","0","3","3","false","S-locus glycoprotein ","74.33333333333333","0","0","false","0","S-locus glycoprotein ","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Myosin-like protein ","74.33333333333333","0","0","false","0","Myosin-like protein ","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc08g007230","74.33333333333333","0","0","false","0","Solyc08g007230","0"
"0.0","0.0","0.0","1.0","0","3","3","false","HMGS","74.33333333333333","0","0","false","0","HMGS","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Ankyrin repeat ","81.0","0","0","false","0","Ankyrin repeat ","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Potassium channel","74.33333333333333","0","0","false","0","Potassium channel","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Lipoxygenase","74.33333333333333","0","0","false","0","Lipoxygenase","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc08g061060","74.33333333333333","0","0","false","0","Solyc08g061060","0"
"0.0","0.0","0.0","1.0","0","3","3","false","N-acetyltransferase","74.33333333333333","0","0","false","0","N-acetyltransferase","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc08g068800","74.33333333333333","0","0","false","0","Solyc08g068800","0"
"0.0","0.0","0.0","1.0","0","5","5","false","ERF1A","74.33333333333333","0","2","false","0","ERF1A","0"
"0.0","0.0","0.0","1.0","0","3","3","false","ERF1","74.33333333333333","0","0","false","0","ERF1","0"
"0.0","0.0","0.0","1.0","0","3","3","false","ERF2b","74.33333333333333","0","0","false","0","ERF2b","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Zinc finger and SCAN domain containing 29 ","74.33333333333333","0","0","false","0","Zinc finger and SCAN domain containing 29 ","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Peptide transporter-like protein","74.33333333333333","0","0","false","0","Peptide transporter-like protein","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Annexin","81.0","0","0","false","0","Annexin","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc10g053910","74.33333333333333","0","0","false","0","Solyc10g053910","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc10g078550","74.33333333333333","0","0","false","0","Solyc10g078550","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Solyc10g084240","81.0","0","0","false","0","Solyc10g084240","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Soul heme-binding ","74.33333333333333","0","0","false","0","Soul heme-binding ","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Cationic amino acid transporter","81.0","0","0","false","0","Cationic amino acid transporter","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Beta-xylosidase 1","74.33333333333333","0","0","false","0","Beta-xylosidase 1","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Solyc12g006530","81.0","0","0","false","0","Solyc12g006530","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc12g006810","74.33333333333333","0","0","false","0","Solyc12g006810","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc12g006840","74.33333333333333","0","0","false","0","Solyc12g006840","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Aluminum-induced protein-like protein","81.0","0","0","false","0","Aluminum-induced protein-like protein","0"
"0.0","0.0","0.0","1.0","0","3","3","false","Solyc12g042210","74.33333333333333","0","0","false","0","Solyc12g042210","0"
"0.0","0.0","0.0","1.0","0","2","2","false","Calmodulin-binding transcription activator 5","81.0","0","0","false","0","Calmodulin-binding transcription activator 5","0"
